Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium,Revenue,Operating Income,Net Income
2001,Baltimore Orioles,AL East,63,98,4,,"3,094,841","38,686",4th of 14,"$74,279,540 ",96,95,Oriole Park at Camden Yards,133,,
2001,Chicago White Sox,AL Central,83,79,3,,"1,766,172","21,805",12th of 14,"$65,653,667 ",103,104,Comiskey Park II,101,,
2001,Chicago Cubs,NL Central,88,74,3,,"2,779,465","34,314",8th of 16,"$64,715,833 ",95,95,Wrigley Field,131,,
2001,Arizona Diamondbacks,NL West,92,70,1,Won WS (4-3),"2,736,451","33,783",9th of 16,"$85,082,999 ",107,108,Bank One Ballpark,127,,
2001,Boston Red Sox,AL East,82,79,2,,"2,625,333","32,412",6th of 14,"$110,035,833 ",100,101,Fenway Park,152,,
2001,Cleveland Indians,AL Central,91,71,1,Lost LDS (3-2),"3,175,523","39,694",3rd of 14,"$93,360,001 ",100,100,Jacobs Field,150,,
2001,Tampa Bay Rays,AL East,62,100,5,,"1,298,365","16,029",14th of 14,"$56,980,000 ",99,97,Tropicana Field,92,,
2001,Montreal Expos,NL East,68,94,5,,"642,745","7,935",16th of 16,"$35,159,500 ",102,101,Stade Olympique,63,,
2001,Texas Rangers,AL West,73,89,4,,"2,831,021","34,525",5th of 14,"$88,633,500 ",104,104,The Ballpark in Arlington,134,,
2001,Toronto Blue Jays,AL East,80,82,3,,"1,915,438","23,359",10th of 14,"$76,895,999 ",102,102,"Estadio Hiram Bithorn, SkyDome",91,,
2001,Cincinnati Reds,NL Central,66,96,5,,"1,879,757","23,207",13th of 16,"$48,986,000 ",105,105,Cinergy Field,87,,
2001,St Louis Cardinals,NL Central,93,69,2,Lost LDS (3-2),"3,109,578","37,922",3rd of 16,"$79,373,333 ",99,100,Busch Stadium II,123,,
2001,San Francisco Giants,NL West,90,72,2,,"3,311,958","40,888",1st of 16,"$63,280,167 ",91,93,Pacific Bell Park,142,,
2001,Seattle Mariners,AL West,116,46,1,Lost ALCS (4-1),"3,507,326","43,300",1st of 14,"$74,720,834 ",92,94,Safeco Field,166,,
2001,Philadelphia Phillies,NL East,86,76,2,,"1,782,054","22,001",14th of 16,"$41,663,833 ",97,97,Veterans Stadium,94,,
2001,Pittsburgh Pirates,NL Central,62,100,6,,"2,464,870","30,430",11th of 16,"$57,760,833 ",104,103,PNC Park,108,,
2001,Colorado Rockies,NL West,73,89,5,,"3,166,821","39,097",2nd of 16,"$71,541,334 ",122,122,Coors Field,129,,
2001,Oakland Athletics,AL West,102,60,2,Lost LDS (3-2),"2,133,277","26,337",7th of 14,"$33,810,750 ",97,98,Network Associates Coliseum,90,,
2001,New York Yankees,AL East,95,65,1,Lost WS (4-3),"3,264,907","40,811",2nd of 14,"$112,787,143 ",100,101,Yankee Stadium II,215,,
2001,New York Mets,NL East,82,80,3,,"2,658,330","32,819",10th of 16,"$93,174,428 ",95,95,Shea Stadium,169,,
2001,Miami Marlins,NL East,76,86,4,,"1,261,226","15,765",15th of 16,"$35,762,500 ",97,96,Pro Player Stadium,81,-14,
2001,Minnesota Twins,AL Central,85,77,2,,"1,782,929","22,011",11th of 14,"$24,130,000 ",101,101,Hubert H. Humphrey Metrodome,75,0.4,
2001,Detroit Tigers,AL Central,66,96,4,,"1,921,305","23,720",9th of 14,"$53,416,167 ",95,93,Comerica Park,114,-5.3,
2001,Milwaukee Brewers,NL Central,68,94,4,,"2,811,041","34,704",7th of 16,"$43,886,833 ",98,97,Miller Park,108,-6.1,
2001,Los Angeles Angels,AL West,75,87,3,,"2,000,919","24,703",8th of 14,"$47,735,167 ",100,101,Edison Field,103,-3.7,
2001,Houston Astros,NL Central,93,69,1,Lost LDS (3-0),"2,904,277","35,855",5th of 16,"$60,612,667 ",106,106,Enron Field,125,-0.8,
2001,Los Angeles Dodgers,NL West,86,76,3,,"3,017,143","37,249",4th of 16,"$109,105,953 ",91,92,Dodger Stadium,143,-25,
2001,Kansas City Royals,AL Central,65,97,5,,"1,536,371","18,968",13th of 14,"$35,422,500 ",107,106,Kauffman Stadium,85,-11.2,
2001,Atlanta Braves,NL East,88,74,1,Lost NLCS (4-1),"2,823,530","34,858",6th of 16,"$91,936,166 ",102,103,Turner Field,160,9.5,
2002,Baltimore Orioles,AL East,67,95,4,,"2,682,439","33,117",3rd of 14,"$64,493,487 ",96,95,Oriole Park at Camden Yards,129,12.4,
2002,Chicago White Sox,AL Central,81,81,2,,"1,676,911","20,703",10th of 14,"$57,052,833 ",101,101,Comiskey Park II,106,1.2,
2002,Chicago Cubs,NL Central,67,95,5,,"2,693,096","33,248",7th of 16,"$75,690,833 ",98,98,Wrigley Field,143,11.9,
2002,Arizona Diamondbacks,NL West,98,64,1,Lost LDS (3-0),"3,198,977","39,494",2nd of 16,"$102,819,999 ",110,111,Bank One Ballpark,122,-22.2,
2002,Boston Red Sox,AL East,93,69,2,,"2,650,862","32,727",4th of 14,"$108,366,060 ",102,103,Fenway Park,171,-2.1,
2002,Cleveland Indians,AL Central,74,88,3,,"2,616,940","32,308",5th of 14,"$78,909,449 ",98,97,Jacobs Field,141,-1,
